path,category,has_help,role,recommended_interface
datasets/environment_Conv1D_Tiny/environment_dataset_Conv1D_Tiny.py,dataset,no,Generates the processed environmental dataset for Conv1D Tiny,python datasets/environment_Conv1D_Tiny/environment_dataset_Conv1D_Tiny.py
datasets/environment_lstm/environment_dataset_lstm.py,dataset,no,Generates the processed environmental dataset for LSTM,python datasets/environment_lstm/environment_dataset_lstm.py
datasets/environment_mlp/environment_dataset_mlp.py,dataset,no,Generates the processed environmental dataset for MLP,python datasets/environment_mlp/environment_dataset_mlp.py
runner.py,pipeline,yes,YAML pipeline orchestrator,python runner.py --help
trainings/environment_Conv1D_Tiny/base_model/environment_base_model_Conv1D_Tiny.py,training,no,Trains and evaluates the baseline model and writes a versioned run,python trainings/environment_Conv1D_Tiny/base_model/environment_base_model_Conv1D_Tiny.py
trainings/environment_Conv1D_Tiny/header_generator/header_generator_Conv1D_Tiny.py,export,no,Converts the selected TFLite model into a C/C++ model-data header,python trainings/environment_Conv1D_Tiny/header_generator/header_generator_Conv1D_Tiny.py
trainings/environment_Conv1D_Tiny/pruned_model/environment_pruned_model_Conv1D_Tiny.py,training,no,"Loads the latest baseline run, prunes/fine-tunes, evaluates, and writes a versioned run",python trainings/environment_Conv1D_Tiny/pruned_model/environment_pruned_model_Conv1D_Tiny.py
trainings/environment_Conv1D_Tiny/quantized_model/environment_quantized_model_Conv1D_Tiny.py,training,no,"Quantizes/converts the model and exports TFLite, Rolling-24, Replay, tensor, and metric evidence",python trainings/environment_Conv1D_Tiny/quantized_model/environment_quantized_model_Conv1D_Tiny.py
trainings/environment_Conv1D_Tiny/quantized_model/environment_quantized_model_portg_Conv1D_Tiny.py,training-alternate,no,Preserved alternate/portable quantized-model script; not called by the checked-in YAML pipelines,python trainings/environment_Conv1D_Tiny/quantized_model/environment_quantized_model_portg_Conv1D_Tiny.py
trainings/environment_Conv1D_Tiny/scalers_exporter/scale_vector_exporter_Conv1D_Tiny.py,export,no,Exports fitted scaler constants and feature order to a firmware header,python trainings/environment_Conv1D_Tiny/scalers_exporter/scale_vector_exporter_Conv1D_Tiny.py
trainings/environment_lstm/base_model/environment_base_model_lstm.py,training,no,Trains and evaluates the baseline model and writes a versioned run,python trainings/environment_lstm/base_model/environment_base_model_lstm.py
trainings/environment_lstm/header_generator/header_generator_lstm.py,export,no,Converts the selected TFLite model into a C/C++ model-data header,python trainings/environment_lstm/header_generator/header_generator_lstm.py
trainings/environment_lstm/pruned_model/environment_pruned_model_lstm.py,training,no,"Loads the latest baseline run, prunes/fine-tunes, evaluates, and writes a versioned run",python trainings/environment_lstm/pruned_model/environment_pruned_model_lstm.py
trainings/environment_lstm/quantized_model/environment_quantized_model_lstm.py,training,no,"Quantizes/converts the model and exports TFLite, Rolling-24, Replay, tensor, and metric evidence",python trainings/environment_lstm/quantized_model/environment_quantized_model_lstm.py
trainings/environment_lstm/quantized_model/environment_quantized_model_portg_lstm.py,training-alternate,no,Preserved alternate/portable quantized-model script; not called by the checked-in YAML pipelines,python trainings/environment_lstm/quantized_model/environment_quantized_model_portg_lstm.py
trainings/environment_lstm/scalers_exporter/scale_vector_exporter_lstm.py,export,no,Exports fitted scaler constants and feature order to a firmware header,python trainings/environment_lstm/scalers_exporter/scale_vector_exporter_lstm.py
trainings/environment_mlp/base_model/environment_base_model_mlp.py,training,no,Trains and evaluates the baseline model and writes a versioned run,python trainings/environment_mlp/base_model/environment_base_model_mlp.py
trainings/environment_mlp/header_generator/header_generator_mlp.py,export,no,Converts the selected TFLite model into a C/C++ model-data header,python trainings/environment_mlp/header_generator/header_generator_mlp.py
trainings/environment_mlp/pruned_model/environment_pruned_model_mlp.py,training,no,"Loads the latest baseline run, prunes/fine-tunes, evaluates, and writes a versioned run",python trainings/environment_mlp/pruned_model/environment_pruned_model_mlp.py
trainings/environment_mlp/quantized_model/environment_quantized_model_mlp.py,training,no,"Quantizes/converts the model and exports TFLite, Rolling-24, Replay, tensor, and metric evidence",python trainings/environment_mlp/quantized_model/environment_quantized_model_mlp.py
trainings/environment_mlp/quantized_model/environment_quantized_model_portg_mlp.py,training-alternate,no,Preserved alternate/portable quantized-model script; not called by the checked-in YAML pipelines,python trainings/environment_mlp/quantized_model/environment_quantized_model_portg_mlp.py
trainings/environment_mlp/scalers_exporter/scale_vector_exporter_mlp.py,export,no,Exports fitted scaler constants and feature order to a firmware header,python trainings/environment_mlp/scalers_exporter/scale_vector_exporter_mlp.py
utils/global_utils/global_seed.py,internal,no,Defines shared deterministic seed settings imported by training scripts,Imported module; no direct command
utils/global_utils/make_dirs_tree.py,utility,yes,Creates a directory tree from a text plan,python utils/global_utils/make_dirs_tree.py --help
utils/global_utils/paths_Conv1D_Tiny.py,internal,no,Defines model-specific repository and versioned-run paths,Imported module; no direct command
utils/global_utils/paths_lstm.py,internal,no,Defines model-specific repository and versioned-run paths,Imported module; no direct command
utils/global_utils/paths_mlp.py,internal,no,Defines model-specific repository and versioned-run paths,Imported module; no direct command
utils/global_utils/pio_build.py,firmware-utility,yes,Builds a selected PlatformIO environment,python utils/global_utils/pio_build.py --help
utils/global_utils/pio_monitor.py,firmware-utility,yes,Opens the serial monitor and captures timestamped logs,python utils/global_utils/pio_monitor.py --help
utils/global_utils/pio_pull_headers.py,firmware-utility,yes,Copies generated model/scaler/Replay headers into a PlatformIO project,python utils/global_utils/pio_pull_headers.py --help
utils/global_utils/pio_upload.py,firmware-utility,yes,Uploads a selected PlatformIO environment to the board,python utils/global_utils/pio_upload.py --help
utils/global_utils/report_env.py,utility,yes,Writes the installed Python package environment to Markdown,python utils/global_utils/report_env.py --help
utils/global_utils/versioning.py,internal,no,Creates and resolves versioned run directories and latest pointers,Imported module; no direct command
utils/image_generator/graphic_image/plot_rolling24_scatter_offline_ondevice_article_conv1d_tiny.py,publication-output,yes,Generates the Conv1D Tiny Rolling-24 scatter figure,python utils/image_generator/graphic_image/plot_rolling24_scatter_offline_ondevice_article_conv1d_tiny.py --help
